_id,brand,batteryCharge,status,helmets,extraFeatures,damages,isClean,rides,kms,location.type,location.coordinates
Y0CQ65ZT4W,BH,28.18,reserved,1,[],[],True,28,86.46294285430939,Point,"[-3.7060757374465765, 40.447543951987946]"
H5VMPBRHOX,BH,10.06,free,2,['helmetDetection'],[],True,24,61.10339880743111,Point,"[-3.7087556978420597, 40.466149787406565]"
Y0CZ0CK2EQ,Vandor,90.8,moving,1,"['helmetDetection', 'locker', 'absBrakes']",[],False,23,64.36253291597978,Point,"[-3.6525852077230803, 40.45831041940992]"
GG944VVH4H,BH,73.48,moving,1,[],['brokenLamp'],True,23,67.07033224236943,Point,"[-3.6743011271789725, 40.47120388775362]"
F7CEOICTA2,Orbea,65.61,free,1,"['helmetDetection', 'lamps', 'locker', 'absBrakes']",[],False,18,56.85823090383617,Point,"[-3.6511313048652383, 40.43864208086309]"
HSIYSH7MCZ,BH,78.96,free,1,[],[],True,18,51.476196172273625,Point,"[-3.651060612987306, 40.474094142980455]"
9ULFG8TKYJ,Orbea,29.11,free,1,[],"['stolenHelmet', 'flatTire']",True,18,52.53827757715634,Point,"[-3.6545192508455986, 40.45106377491816]"
F5O8ZRBHRC,Orbea,71.0,out,1,['helmetDetection'],['stolenHelmet'],True,13,40.5418709522965,Point,"[-3.7058982367197597, 40.40700063333212]"
456U5D2TJ5,Vandor,1.01,free,1,"['helmetDetection', 'locker', 'absBrakes']","['brokenLamp', 'scratches']",False,12,37.16405815245125,Point,"[-3.669220917070948, 40.475853725308404]"
NDYCOFLXDL,Vandor,0.0,out,1,"['absBrakes', 'helmetDetection', 'locker']",[],True,17,49.72095220824177,Point,"[-3.6620816010918555, 40.45799691236145]"
D0532HFFPG,Vandor,21.35,moving,2,['locker'],[],True,23,75.17942678442111,Point,"[-3.6911755818917547, 40.40504636985587]"
NPIOYWI5GB,BH,1.26,moving,1,"['lamps', 'absBrakes', 'helmetDetection']",[],True,20,61.78043669095161,Point,"[-3.7134628531037763, 40.442609178624515]"
VPLPBK9KF1,BH,45.75,out,1,"['helmetDetection', 'lamps', 'absBrakes']",[],True,29,84.81957900745955,Point,"[-3.7238497184514077, 40.447274476717716]"
